"","study","vp","reward_b1","reward_b2","reward_b3","reward_b4","choice","rt"
"66","chakroun",1,39.8809300090831,41.3262062952049,62.2335072128606,27.1789292025125,3,0.432646800451039
"67","chakroun",1,45.4491643706387,45.9739325531784,69.1062059344995,28.1120617859819,2,0.428258105917848
"68","chakroun",1,49.4662043964355,51.40312309468,76.5097878794024,35.6672716749336,4,0.362035941254362
"69","chakroun",1,43.0104408424878,48.1224062865669,72.4440908542116,28.4575804920771,3,0.322818228711185
"70","chakroun",1,40.6675089858994,40.7982388520549,69.6970934056803,28.307653108696,3,0.313669243638287
"71","chakroun",1,40.3475394378636,37.1170459703469,66.264122889574,31.1410492962759,3,0.336448698879394
"72","chakroun",1,55.836996328018,45.8018145394129,76.4917096159143,44.4326021825241,3,0.400049543410205
"73","chakroun",1,60.8194447405441,43.67602051498,71.1646531092145,44.4894906635975,3,0.537682798347305
"74","chakroun",1,63.5849071268308,46.7269886769267,69.303603496208,46.1393225464313,3,0.628933083973607
"75","chakroun",1,66.6666517754929,50.0777393221685,67.6674256967804,51.8073772648741,3,0.440020184618334
"76","chakroun",1,60.2508229845946,41.562597930957,57.0038521276479,42.7505111174104,3,0.53186779731368
"77","chakroun",1,63.1061916168936,42.8753643907732,62.746404167908,38.9962575737983,2,0.449147673782136
"78","chakroun",1,67.9777010805108,50.8948513695316,64.2823639048897,44.7519475718049,4,0.34063009973579
"79","chakroun",1,72.0978696617884,58.653732672739,73.7076328593985,47.6849498941493,1,0.448713608884646
"80","chakroun",1,63.5406606024906,48.2610163877956,54.9213360609821,31.2781774676153,1,0.373982325283578
"81","chakroun",1,75.740148527457,55.6805081603621,60.2894771302505,38.8970253588862,1,0.40193972810448
"82","chakroun",1,72.9033038683961,56.6190209695062,59.0563341789669,40.0568801587751,1,0.450568687230771
"83","chakroun",1,65.88242813364,56.8735672660959,59.6219276514615,42.5266204045466,1,0.571560265407243
"84","chakroun",1,53.1885483904685,41.7456729086537,48.8370364800927,32.520627876577,1,0.850848094260073
"85","chakroun",1,62.6286734795742,54.1844750637808,61.9831325340817,45.0914750936489,1,0.34208781731104
"86","chakroun",1,58.6060679575503,58.4720810915356,61.1008149583857,44.7808378532436,2,0.34939404108809
"87","chakroun",1,55.5712173661485,55.0665575729883,49.990225483957,41.1438601301569,3,0.320515573945158
"88","chakroun",1,67.1687558356946,66.5305875800183,62.827642067319,55.655660726394,4,0.32164424101029
"89","chakroun",1,54.4106863658871,59.576585644717,59.8299923970371,44.367273306068,1,0.362964294605263
"90","chakroun",1,54.3891052899439,55.4231264777728,59.8968584462393,47.5589559460922,4,0.325592505208988
"91","chakroun",1,55.9663587459587,57.4535252237528,55.3534966684386,40.9810429591962,2,0.379993186392312
"92","chakroun",1,53.9157408262545,60.3435153663409,61.3530850013635,49.6235318069171,2,0.384813870979997
